ResponseID,Cond,Stim->,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,Stim->,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,Race,Age,Gender
ResponseID,Cond,Orientation,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,upright,Orientation,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,inverted,Please indicate your race:,"What is your age? (To the nearest year, please enter a whole number / below).",Please indicate your gender:
R_cPbuhYRebsrAeyh,Trust,1,3,4,4,4,5,6,4,5,5,4,6,3,5,5,3,4,6,4,6,2,5,3,4,3,5,3,5,6,6,4,4,5,5,4,5,5,6,3,7,4,5,5,2,4,6,3,6,4,2,2,3,3,6,4,4,6,4,5,7,3,4,3,4,6,3,5,3,2,4,5,4,2,1,2,6,3,5,4,7,2,5,5,3,5,4,2,4,5,4,5,3,4,2,3,6,3,3,3,5,2,5,4,2,5,6,4,4,4,3,4,3,4,5,3,5,5,6,5,4,5,4,3,3,2,4,4,3,4,2,5,6,1,5,6,6,2,4,5,5,5,5,3,4,5,3,white,49,female
R_cNsI300HtUnhoSV,Trust,1,3,5,4,3,5,4,4,5,4,3,3,5,5,5,6,5,4,3,2,4,6,4,4,5,4,4,4,4,5,2,3,4,4,4,5,4,4,3,3,2,3,4,5,4,3,3,5,3,4,4,5,3,3,5,5,4,4,3,3,4,4,3,4,3,4,3,4,4,3,5,4,2,1,4,4,3,4,5,3,3,3,2,3,3,4,5,5,4,4,3,4,4,4,4,4,3,3,4,5,3,3,3,4,2,3,4,3,4,4,4,3,4,3,3,4,5,3,5,5,4,3,3,4,4,5,3,3,5,3,3,5,4,2,5,4,5,3,3,2,2,3,3,4,4,3,asian,29,male
R_6JaAAIxy4mSitV3,Trust,1,4,5,4,4,3,4,4,4,4,5,4,5,5,5,5,4,4,4,5,5,5,5,4,5,4,5,5,5,4,4,5,4,4,5,4,5,4,3,4,4,4,5,4,4,3,5,6,4,4,4,4,5,4,4,4,4,5,4,4,4,5,5,5,6,4,4,3,3,5,4,4,3,1,5,5,4,4,5,5,4,5,4,4,4,5,5,5,5,5,4,5,4,5,5,5,4,5,5,4,5,5,5,4,4,5,4,5,4,5,4,5,3,5,3,4,3,4,4,5,4,3,3,3,5,3,3,3,5,3,4,5,4,4,6,5,5,5,5,5,4,4,5,4,5,4,Asian,43,female
R_9XHjtdsHn3JX0ix,Trust,1,1,3,1,1,2,2,3,2,2,2,2,3,2,2,2,1,1,2,1,3,2,3,3,3,2,2,1,3,3,2,3,1,2,2,2,2,3,2,4,4,3,3,2,2,3,4,4,2,4,2,2,1,3,2,2,4,4,2,1,2,4,5,1,2,2,2,1,1,2,1,1,2,1,2,2,2,2,2,3,2,3,2,1,1,3,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,4,3,3,4,4,4,4,4,4,4,3,2,1,3,2,1,3,3,3,1,2,2,4,2,3,2,1,2,2,1,2,4,4,white,26,female
R_0PbtUWktOmu0YpT,Trust,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,white,44,male
R_73zxMIn24J6ER01,Trust,1,4,7,4,4,6,5,5,6,4,7,6,4,7,5,7,5,4,5,5,7,7,6,7,6,6,6,6,6,6,6,6,5,6,6,7,6,4,6,5,7,5,4,3,6,4,5,4,4,4,4,7,6,6,4,6,6,6,7,5,5,7,6,6,7,6,4,3,6,5,4,6,6,1,6,6,6,7,6,5,6,5,5,6,6,5,5,6,7,5,5,4,5,5,6,5,6,6,6,6,6,6,5,5,5,5,5,6,6,5,6,3,6,6,3,5,4,4,5,5,5,5,6,4,5,4,4,6,4,5,5,5,3,6,6,5,4,6,6,5,3,4,4,5,5,6,white,54,female
R_8HvGxWajSE0Hpyd,Trust,1,5,5,5,5,5,5,5,6,5,5,5,6,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,5,5,5,5,5,5,5,4,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,3,3,3,4,3,5,3,3,white,30,male
R_4PeUHdcyab7Y2nb,Trust,1,2,4,2,3,4,5,2,1,2,4,1,4,4,5,6,5,1,2,2,5,3,3,2,5,3,6,2,3,4,1,3,2,4,4,2,1,3,1,2,3,3,5,1,5,3,2,4,3,2,1,1,3,3,2,2,2,5,2,1,6,5,3,1,5,1,3,2,3,3,1,2,1,1,4,3,3,4,4,4,2,3,2,4,2,3,4,3,3,3,1,2,2,4,2,2,3,4,2,3,3,3,4,2,2,5,3,4,6,3,4,3,3,2,4,2,1,3,5,3,3,2,4,1,1,3,2,1,4,3,2,2,3,4,5,2,2,3,3,2,4,5,1,2,2,2,White,59,Female
R_3NLlwS43i4zIMy9,Trust,1,1,4,2,4,5,3,3,3,4,2,3,5,5,2,3,5,4,3,1,3,2,1,1,3,3,4,2,3,3,3,2,2,4,4,2,2,4,2,5,7,4,4,4,3,4,5,3,4,5,3,5,3,2,2,3,4,6,3,2,3,5,5,1,5,2,2,2,2,2,3,2,3,1,3,2,2,3,3,5,2,3,2,2,3,2,3,3,3,2,4,3,2,6,2,3,2,3,3,4,2,2,4,2,2,2,4,5,2,3,5,2,6,4,5,5,5,3,3,4,4,4,5,2,3,3,3,4,2,2,4,4,3,2,5,7,3,3,3,4,6,2,3,7,6,3,white,24,male
R_6WfzR4Uyfc0eidn,Trust,1,1,3,1,2,4,1,1,2,3,3,2,2,3,2,6,2,1,1,1,4,3,5,4,4,1,6,6,5,4,1,2,5,4,5,2,6,2,1,4,6,5,4,2,3,3,4,5,3,6,2,1,2,2,1,4,3,6,5,3,5,6,4,2,6,4,2,2,4,6,3,4,4,1,4,5,3,4,4,6,3,6,2,2,4,4,5,5,4,3,2,1,3,2,2,3,4,3,2,3,5,4,2,2,3,2,3,2,3,4,4,2,5,5,4,6,5,5,3,3,4,5,3,4,2,3,3,3,3,5,5,5,6,2,5,5,3,4,2,3,5,4,6,4,4,4,caucasian,45,female
R_6FqLxi9dF3mZSrr,Trust,1,2,3,4,5,6,4,3,4,4,5,3,5,6,6,6,5,4,4,3,3,4,6,5,3,4,5,4,5,4,3,4,4,5,5,6,4,5,4,5,4,4,4,3,2,4,5,4,6,3,6,4,3,6,3,4,7,5,6,2,6,4,5,5,7,6,2,6,2,4,6,5,4,1,4,5,4,5,6,4,3,4,4,3,3,5,5,3,5,6,5,4,4,5,4,4,4,3,3,4,4,5,3,3,4,4,4,4,4,4,6,3,6,4,4,5,3,6,5,5,4,6,5,4,4,3,5,3,3,3,5,6,4,6,5,5,3,6,5,3,4,3,4,6,5,4,Caucasian,56,Femaie
R_bgD7ulovSaikPKB,Trust,1,3,5,4,4,3,5,3,3,4,3,4,3,2,3,4,3,3,3,5,4,6,4,6,5,6,5,5,5,4,5,6,5,6,3,4,6,5,4,4,4,5,3,4,2,5,3,4,4,4,3,2,5,4,5,3,3,4,5,5,3,3,6,2,5,3,4,4,3,6,5,3,6,1,3,4,4,5,3,5,6,3,5,3,5,3,5,5,3,5,3,4,5,5,5,4,5,4,5,6,4,4,5,3,4,5,4,4,2,4,2,3,5,2,4,4,2,4,4,3,5,3,5,3,5,4,5,3,4,5,4,5,3,3,5,5,5,5,5,3,3,3,5,3,4,3,white,41,f
R_difGFwTeiYiL0I5,Trust,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,5,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,2,3,3,3,3,2,2,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,2,3,2,2,3,3,2,3,1,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3,3,3,2,3,2,2,3,4,3,3,Caucasian,33,Male
R_5jxaw6WkoEj9TmZ,Trust,1,4,4,3,2,2,4,3,4,3,2,3,2,4,4,4,3,2,3,2,3,2,3,2,3,3,3,4,3,2,2,2,3,3,2,2,2,2,2,4,3,4,4,2,3,4,3,4,3,4,4,4,2,3,4,4,4,3,3,2,4,3,3,2,3,4,3,3,3,3,4,3,2,1,3,3,2,2,2,3,3,3,3,2,2,3,2,3,3,2,2,2,3,3,2,2,4,3,4,3,4,2,2,2,2,3,3,4,2,3,3,2,3,3,3,3,3,3,3,4,3,3,3,2,3,2,3,2,3,2,3,4,3,3,4,3,2,3,4,2,3,3,3,3,3,2,white,33,male
R_5BFh1cPkqH9dHCJ,Trust,1,2,7,2,6,2,5,4,6,6,4,6,2,4,6,7,6,6,4,3,3,5,3,4,3,6,5,5,6,3,5,4,3,6,4,5,4,2,2,5,6,6,6,3,3,6,6,5,5,4,6,3,5,5,2,4,5,5,3,5,4,6,6,5,4,4,3,6,4,6,6,5,2,1,2,2,3,5,3,5,2,4,2,3,5,5,3,5,6,5,2,2,3,5,4,4,5,3,5,5,6,2,5,2,4,5,2,3,4,4,4,3,6,3,6,2,4,3,4,4,5,5,4,5,6,2,3,2,6,5,5,1,5,3,5,5,4,4,4,6,5,5,4,6,2,5,White,67,Female
R_cByJxkPFwJktROJ,Trust,1,2,5,2,3,4,4,4,5,3,4,3,3,3,3,3,4,2,3,2,5,4,2,4,4,4,4,3,5,3,2,4,4,3,4,3,3,2,3,5,3,4,4,2,4,4,4,3,4,3,2,3,3,2,3,3,3,5,4,3,3,4,4,4,4,3,3,4,3,3,4,3,3,1,2,4,4,4,4,4,3,3,3,4,4,4,4,3,3,3,4,4,3,5,3,4,5,5,4,4,4,3,3,2,5,4,4,5,5,5,5,3,4,4,4,5,3,3,3,3,3,4,4,3,4,3,3,3,4,4,3,4,4,3,4,4,4,4,3,4,4,4,5,4,5,3,Hispanic,28,Male
R_3wnKncyoffNtaBL,Trust,1,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,4,3,5,4,4,3,4,4,4,4,4,4,3,4,3,3,4,3,3,4,3,4,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,3,3,4,3,4,3,3,3,4,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,caucasian,31,female
R_1HSb7JCv4UeriXX,Trust,1,4,4,3,4,4,4,4,4,4,5,4,4,5,4,5,4,3,3,4,5,4,5,5,5,5,5,5,5,5,2,5,4,3,5,5,5,3,4,5,5,5,4,4,5,5,5,5,4,5,3,4,4,4,5,5,6,3,4,4,5,6,5,4,5,3,4,4,3,3,4,6,5,1,5,4,4,5,5,4,4,4,5,4,4,5,5,4,5,4,4,3,4,5,4,4,5,4,4,4,5,5,4,4,5,4,4,5,5,4,5,4,5,5,4,5,5,4,5,5,5,4,5,4,3,4,5,4,4,5,4,4,4,3,5,5,4,5,4,4,4,3,3,3,5,4,White,32,Male
R_efcxtiVGr4Y3yIZ,Trust,1,5,4,5,5,5,4,5,5,4,5,5,5,5,4,5,4,4,5,5,4,4,4,5,5,4,5,5,5,5,4,5,5,5,4,4,4,4,5,5,5,5,5,4,4,5,4,5,5,4,5,4,4,5,4,4,5,5,4,5,5,4,4,4,5,3,4,4,5,6,5,5,5,1,4,4,5,4,4,4,5,5,5,4,4,4,5,4,5,4,5,5,4,5,4,4,5,5,5,4,5,5,4,4,5,5,4,4,4,5,4,4,4,5,4,5,4,4,4,5,5,5,5,5,5,5,5,5,4,5,5,6,4,5,4,5,5,4,4,5,5,5,5,6,5,4,White,30,Male
R_e3W71tOAjjdNVnT,Trust,1,3,4,2,4,3,3,3,3,3,3,2,3,4,3,3,2,2,3,3,4,3,3,5,4,3,4,4,4,5,3,3,3,3,5,3,3,2,3,5,5,5,3,1,4,3,3,4,3,3,3,4,3,3,3,2,4,3,3,2,3,4,4,2,3,4,3,4,3,3,3,4,3,1,2,3,2,2,2,4,2,4,2,3,3,3,4,3,4,3,2,2,3,3,3,4,3,3,3,3,3,4,4,2,3,3,3,4,4,3,3,2,4,3,3,3,3,3,2,2,4,2,3,2,3,3,4,2,4,3,3,4,2,2,5,4,4,4,4,2,3,3,4,2,4,3,White,36,Female
R_6M8EscvIksOMBzD,Trust,1,2,5,3,4,6,5,4,5,3,4,4,4,4,5,3,3,2,4,3,4,4,5,3,6,4,4,4,4,4,2,4,4,3,5,2,4,5,2,3,4,6,4,2,2,4,4,4,3,4,3,4,2,2,2,2,3,4,5,4,4,4,4,4,5,2,2,2,2,2,5,1,3,1,4,4,2,4,4,4,4,5,4,2,4,3,4,4,4,4,6,5,4,3,4,4,4,4,4,4,4,5,3,3,4,5,4,4,4,4,5,2,4,4,3,4,2,4,5,4,3,4,3,4,2,3,4,3,4,3,4,4,4,3,3,3,3,4,2,3,2,2,2,4,4,4,white,31,male
R_0ledj8Og8IrXs2h,Trust,1,2,4,3,2,3,3,4,3,3,3,4,2,3,3,4,3,4,3,4,3,3,3,2,3,4,3,4,5,2,3,4,5,4,4,4,3,4,3,3,4,4,4,3,4,3,2,2,4,3,3,3,2,2,3,3,4,4,3,6,4,3,4,3,5,4,2,5,3,2,5,5,4,1,4,3,3,4,3,3,4,3,4,3,3,3,4,3,4,4,3,3,3,2,3,3,2,3,3,2,2,3,3,3,4,3,2,3,3,3,4,3,3,2,4,3,4,2,3,3,4,3,3,2,2,2,3,3,3,4,3,2,3,3,3,3,3,3,2,3,3,2,3,2,3,2,white,27,male
R_3C7GG4RLmId3lUV,Trust,1,3,5,3,4,4,6,4,4,4,3,2,4,5,4,5,4,3,3,2,5,3,4,5,6,5,3,4,4,3,3,3,4,3,4,3,3,4,3,5,6,5,3,3,3,4,5,4,5,4,2,5,3,4,4,4,6,4,4,5,3,6,3,4,5,3,3,4,5,4,5,5,3,1,4,5,3,5,5,4,3,3,4,3,4,4,5,5,3,4,4,4,3,6,5,5,4,5,5,5,4,5,5,3,5,5,6,6,5,5,3,3,5,4,4,3,3,4,3,3,4,3,3,4,4,3,3,4,5,6,5,5,6,4,6,6,6,5,4,5,5,5,5,5,5,4,Caucasian,21,Male
R_3eAzhNuW72Jcd93,Trust,1,1,6,1,4,5,1,7,1,5,5,4,4,7,2,4,4,1,3,1,5,7,4,7,5,4,4,6,4,6,1,6,2,4,6,1,4,2,1,5,6,1,6,3,6,3,4,7,4,6,5,2,1,3,1,1,6,5,5,2,1,7,4,1,5,3,2,1,1,4,2,3,2,1,5,5,3,6,5,5,7,5,6,5,5,7,6,5,6,5,7,4,1,6,5,5,6,7,5,3,6,5,5,2,7,6,3,4,6,6,5,1,5,2,3,6,5,6,1,6,2,3,5,1,1,1,5,4,4,5,6,4,3,5,5,5,4,5,6,4,3,7,6,2,6,2,Black,21,Male
R_0TAnCXlWUwU2HSB,Trust,1,4,4,3,5,3,2,4,4,5,3,5,4,3,3,3,4,4,4,5,4,4,2,3,3,6,4,3,4,5,5,5,3,2,4,4,4,3,3,4,4,3,2,3,4,5,3,3,3,4,2,3,3,3,3,4,5,4,4,4,3,4,5,4,2,3,2,4,4,4,3,4,3,1,4,3,4,4,3,4,5,5,3,3,4,4,2,5,5,3,3,5,2,4,3,4,3,3,3,5,4,3,2,4,5,4,5,5,4,4,3,3,4,4,6,4,3,4,4,3,4,5,4,3,3,4,5,4,3,4,5,3,4,4,4,3,4,3,4,3,6,4,4,4,4,5,american,24,male
R_6xrmRRiYnhhqTaJ,Trust,1,5,7,3,6,5,4,6,4,5,4,4,4,7,4,5,6,4,4,5,6,5,5,5,5,6,5,6,6,5,3,6,5,6,5,4,5,5,3,7,5,3,6,4,6,5,2,4,4,3,3,3,4,2,3,2,6,4,5,3,3,6,5,4,6,4,3,4,4,4,3,4,5,1,5,6,6,5,6,5,6,6,6,5,6,4,5,3,5,5,6,4,5,6,6,5,5,5,5,6,6,5,5,5,5,5,3,6,6,6,6,3,4,3,4,5,3,5,2,6,3,5,5,5,3,6,5,5,3,3,4,5,6,3,4,4,5,5,3,3,3,4,5,4,5,2,Asian,35,female
R_8eNI5NEoFh2Ycw5,Trust,1,2,4,1,3,3,3,2,3,3,1,4,4,4,3,4,3,3,3,3,3,3,4,4,3,2,4,2,4,1,1,3,4,2,4,3,3,4,1,3,4,4,3,1,1,4,2,4,4,4,2,3,1,3,2,3,2,4,2,1,2,4,2,2,3,1,2,2,2,2,2,1,1,1,3,4,3,3,2,4,1,4,3,1,1,2,2,1,2,4,3,4,3,3,4,4,3,4,4,3,3,4,3,1,4,4,4,4,2,4,3,1,3,3,3,4,2,3,2,3,4,3,3,1,1,1,3,1,4,4,3,3,4,3,4,4,3,2,1,3,2,3,2,4,1,3,White,27,Male
R_bPjeUZmgQ2rouOh,Trust,1,1,4,2,1,1,6,4,2,2,5,1,1,4,2,1,1,2,2,1,2,1,2,1,3,1,4,3,4,1,1,3,2,1,2,1,4,3,1,3,6,2,3,3,1,3,2,3,4,2,3,1,1,2,4,1,2,4,5,1,5,4,5,2,3,3,1,1,1,3,4,1,2,1,1,2,1,1,3,3,4,1,4,2,3,1,2,1,1,3,2,1,1,3,3,1,2,3,1,4,5,4,1,1,2,3,3,6,1,5,2,4,1,4,1,5,2,1,1,2,1,4,2,1,1,2,1,1,3,1,5,2,1,2,5,4,3,2,1,2,4,1,3,6,2,3,African American,35,female
R_9WsPp3yemGAJekJ,Trust,1,3,4,4,5,3,3,3,4,2,3,4,2,2,4,3,3,4,4,1,5,3,4,4,4,2,4,4,4,4,7,5,6,4,6,4,3,3,3,4,3,3,3,6,4,1,3,2,2,2,5,1,5,3,4,4,2,4,4,1,4,4,2,7,2,2,2,2,2,2,2,2,1,1,4,5,6,4,4,2,3,1,3,2,7,4,3,7,4,2,4,3,3,2,3,2,1,4,6,5,4,4,5,3,2,4,6,4,3,5,4,1,2,3,4,5,4,4,3,4,7,4,2,4,3,4,1,2,3,4,7,3,1,3,3,6,5,7,4,6,1,1,2,4,3,2,white,31,Male
R_aV4mCsCkdJjxMZ7,Trust,1,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,2,2,2,3,2,3,2,5,2,2,2,2,3,2,4,2,2,2,2,2,2,2,3,2,2,3,3,2,3,4,3,3,2,2,3,2,3,2,2,2,2,4,2,3,2,2,3,3,2,2,2,3,2,4,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,4,2,2,2,2,2,4,2,2,2,2,5,3,3,3,2,2,3,2,2,3,2,3,4,2,2,2,1,2,2,2,3,1,3,2,3,white,22,male
R_2f9tuJfk639YQzX,Trust,1,4,5,5,3,4,4,5,5,3,6,6,3,5,5,3,5,6,3,5,5,4,4,6,6,5,5,6,4,5,4,5,4,5,4,5,4,3,4,4,5,3,4,5,3,4,1,5,5,5,4,6,3,3,3,6,4,5,6,4,4,6,5,6,6,6,4,6,6,6,5,4,6,1,5,4,4,4,3,4,3,3,5,4,3,3,2,4,3,3,3,3,4,5,3,5,4,5,5,3,6,5,4,2,4,6,3,3,6,5,3,4,5,5,3,5,5,4,3,5,5,5,4,4,6,5,3,6,5,4,4,5,3,6,5,5,6,3,4,6,4,3,4,5,2,3,white,22,male
R_8AG89PqJ0SASGP3,Trust,1,4,4,3,4,5,4,5,5,3,5,3,4,5,4,5,4,3,3,5,6,5,4,4,4,4,5,4,4,5,4,5,5,3,5,5,4,3,4,4,4,4,5,2,3,5,4,5,4,3,3,4,4,2,3,4,4,3,5,3,3,5,5,4,3,4,4,2,2,3,3,4,3,1,3,4,3,3,4,4,3,4,2,3,4,3,4,4,4,4,3,4,4,4,4,4,4,3,3,4,5,4,4,3,4,4,3,4,3,5,4,4,4,5,4,5,5,3,4,4,5,3,4,3,4,3,4,3,4,4,4,3,3,3,4,4,4,4,3,4,5,3,4,5,4,3,White,24,Male
